budget,genres,original_language,revenue,runtime,vote_count,director,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Fiction,Foreign,History,Horror,Movie,Music,Mystery,Romance,Science,TV,Thriller,War,Western,succes_critique
25000000,Action Adventure Drama Romance,sv,0,139.0,76,Peter Flinth,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0
16000000,Comedy Drama Romance,en,20627372,94.0,103,Robert Iscove,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0
0,Drama,en,0,109.0,108,Peter Kosminsky,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
16000000,Comedy Horror,en,31556061,100.0,837,Karyn Kusama,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0
16000000,Comedy Crime Mystery,en,15427192,96.0,43,Nick Gomez,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0
16000000,Comedy Drama,en,0,90.0,127,Woody Allen,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
20000000,Drama Romance,en,0,113.0,948,Allen Coulter,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0
0,Drama Comedy Romance,en,0,99.0,42,Clare Kilner,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0
20000000,Comedy Science Fiction,en,13854000,108.0,131,Richard Benjamin,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.0
26000000,Drama,en,206678440,125.0,988,Jonathan Demme,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
16000000,Thriller Science Fiction Mystery,en,18564088,100.0,378,Josef Rusnak,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,1.0
16000000,Comedy Drama,en,12,97.0,10,Lance Rivera,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
0,Action Science Fiction Thriller,en,0,107.0,36,Ronald Neame,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0.0
0,Comedy Drama Music,en,0,112.0,34,Bruce Paltrow,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0
16000000,Comedy Drama,en,0,112.0,113,Woody Allen,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
6500000,Comedy Music,en,4217115,95.0,100,Adam Rifkin,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0
16000000,Adventure Action Fantasy,en,5900000,116.0,624,Russell Mulcahy,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
16000000,Drama,en,2849142,113.0,90,Susanne Bier,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
16000000,Science Fiction Action Adventure,en,1686429,97.0,48,Kenneth Johnson,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.0
16000000,Drama Romance,en,5867686,117.0,250,James Gray,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0
0,Drama History Family Romance,en,0,135.0,21,James Ivory,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0
20000000,Thriller Crime Drama Mystery,en,24261569,101.0,956,Danny Boyle,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1.0
16000000,Romance Comedy,en,14822346,86.0,108,Jessy Terrero,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0
11000000,Comedy,fr,53191886,106.0,615,Dany Boon,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
0,Drama,en,0,96.0,29,Vicente Amorim,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
13000000,Fantasy Drama,en,754249,161.0,387,Gaspar No\u00e9,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
